gross,genres,movie_title,plot_keywords,movie_imdb_link,language,country,title_year,imdb_score,Action,Adventure,Fantasy,Sci-fi,Thriller,Comedy,Romance,Mystery,Horror,Animation
658672302,Drama|Romance,Titanic,artist|love|ship|titanic|wet,tt0120338,English,USA,1997,7.7,0,0,0,0,0,0,1,0,0,0
407197282,Action|Adventure|Sci-Fi,Captain America: Civil War,based on comic book|knife|marvel cinematic universe|returning character killed off|superhero,tt3498820,English,USA,2016,8.2,1,1,0,1,0,0,0,0,0,0
65173160,Action|Adventure|Sci-Fi|Thriller,Battleship,box office flop|hawaii|naval|oahu hawaii|ship,tt1440129,English,USA,2012,5.9,1,1,0,1,1,0,0,0,0,0
652177271,Action|Adventure|Sci-Fi|Thriller,Jurassic World,dinosaur|disaster film|experiment gone wrong|jurassic park|velociraptor,tt0369610,English,USA,2015,7,1,1,0,1,1,0,0,0,0,0
304360277,Action|Adventure|Thriller,Skyfall,brawl|childhood home|computer cracker|intelligence agency|terrorist cell,tt1074638,English,UK,2012,7.8,1,1,0,0,1,0,0,0,0,0
373377893,Action|Adventure|Fantasy|Romance,Spider-Man 2,death|doctor|scientist|super villain|tentacle,tt0316654,English,USA,2004,7.3,1,1,1,0,0,0,1,0,0,0
408992272,Action|Adventure|Sci-Fi,Iron Man 3,armor|explosion|human bomb|missile attack|terrorist,tt1300854,English,USA,2013,7.2,1,1,0,1,0,0,0,0,0,0
334185206,Adventure|Family|Fantasy,Alice in Wonderland,alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion,tt1014759,English,USA,2010,6.5,0,1,1,0,0,0,0,0,0,0
234360014,Action|Adventure|Fantasy|Sci-Fi|Thriller,X-Men: The Last Stand,battle|mutant|outrage|walking through a wall|x men,tt0376994,English,Canada,2006,6.8,1,1,1,1,1,0,0,0,0,0
268488329,Adventure|Animation|Comedy|Family|Fantasy,Monsters University,cheating|fraternity|monster|singing in a car|university,tt1453405,English,USA,2013,7.3,0,1,1,0,0,1,0,0,0,1
402076689,Action|Adventure|Sci-Fi,Transformers: Revenge of the Fallen,autobot|decepticon|machine|sun|symbol,tt1055369,English,USA,2009,6,1,1,0,1,0,0,0,0,0,0
245428137,Action|Adventure|Sci-Fi,Transformers: Age of Extinction,blockbuster|bumblebee the character|semi truck and trailer|texas|truck,tt2109248,English,USA,2014,5.7,1,1,0,1,0,0,0,0,0,0
234903076,Adventure|Family|Fantasy,Oz the Great and Powerful,circus|magic|magician|oz|witch,tt1623205,English,USA,2013,6.4,0,1,1,0,0,0,0,0,0,0
202853933,Action|Adventure|Fantasy|Sci-Fi,The Amazing Spider-Man 2,costumed hero|death of girlfriend|masked vigilante|returning character killed off|teenager,tt1872181,English,USA,2014,6.7,1,1,1,1,0,0,0,0,0,0
172051787,Action|Adventure|Sci-Fi,TRON: Legacy,arcade|bridge|disappearance|escape|warrior,tt1104001,English,USA,2010,6.8,1,1,0,1,0,0,0,0,0,0
191450875,Adventure|Animation|Comedy|Family|Sport,Cars 2,best friend|car race|conspiracy|gadget car|spy,tt1216475,English,USA,2011,6.3,0,1,0,0,0,1,0,0,0,1
116593191,Action|Adventure|Sci-Fi,Green Lantern,autopsy|lantern|planet|ring|test pilot,tt1133985,English,USA,2011,5.6,1,1,0,1,0,0,0,0,0,0
414984497,Adventure|Animation|Comedy|Family|Fantasy,Toy Story 3,college|day care|escape|teddy bear|toy,tt0435761,English,USA,2010,8.3,0,1,1,0,0,1,0,0,0,1
125320003,Action|Adventure|Sci-Fi,Terminator Salvation,death row|future|machine|rescue|skynet,tt0438488,English,USA,2009,6.6,1,1,0,1,0,0,0,0,0,0
350034110,Action|Crime|Thriller,Furious 7,car falling off a cliff|hospital|revenge|star died before release|terrorist,tt2820852,English,USA,2015,7.2,1,0,0,0,1,0,0,0,0,0
202351611,Action|Adventure|Horror|Sci-Fi|Thriller,World War Z,chaos|disease|infection|pandemic|zombie,tt0816711,English,USA,2013,7,1,1,0,1,1,0,0,0,1,0
233914986,Action|Adventure|Fantasy|Sci-Fi|Thriller,X-Men: Days of Future Past,dystopia|super strength|supernatural power|time paradox|time travel,tt1877832,English,USA,2014,8,1,1,1,1,1,0,0,0,0,0
228756232,Action|Adventure|Sci-Fi,Star Trek Into Darkness,admiral|captain|manhunt|mission|space,tt1408101,English,USA,2013,7.8,1,1,0,1,0,0,0,0,0,0
65171860,Adventure|Fantasy,Jack the Giant Slayer,bean|giant|king|no opening credits|princess,tt1351685,English,USA,2013,6.3,0,1,1,0,0,0,0,0,0,0
144812796,Drama|Romance,The Great Gatsby,ingratitude|mansion|party|title appears in writing|tragedy,tt1343092,English,Australia,2013,7.3,0,0,0,0,0,0,1,0,0,0
90755643,Action|Adventure|Fantasy|Romance,Prince of Persia: The Sands of Time,alamut|dagger|king|persia|princess,tt0473075,English,USA,2010,6.6,1,1,1,0,0,0,1,0,0,0
101785482,Action|Adventure|Sci-Fi,Pacific Rim,giant monster|kaiju|pilot|portal|robot,tt1663662,English,USA,2013,7,1,1,0,1,0,0,0,0,0,0
352358779,Action|Adventure|Sci-Fi,Transformers: Dark of the Moon,autobot|decepticon|job interview|moon|spacecraft,tt1399103,English,USA,2011,6.3,1,1,0,1,0,0,0,0,0,0
317011114,Action|Adventure|Fantasy,Indiana Jones and the Kingdom of the Crystal Skull,cult figure|femme fatale|indiana jones|unsubtitled foreign language|year 1957,tt0367882,English,USA,2008,6.2,1,1,1,0,0,0,0,0,0,0
123070338,Adventure|Animation|Comedy|Family|Fantasy,The Good Dinosaur,apatosaurus|asteroid|dinosaur|fear|river,tt1979388,English,USA,2015,6.8,0,1,1,0,0,1,0,0,0,1
237282182,Adventure|Animation|Comedy|Family|Fantasy,Brave,archery|coming of age|female warrior|princess|rebellious daughter,tt1217209,English,USA,2012,7.2,0,1,1,0,0,1,0,0,0,1
130468626,Action|Adventure|Sci-Fi|Thriller,Star Trek Beyond,hatred|sequel|space opera|star trek|third part,tt2660888,English,USA,2016,7.5,1,1,0,1,1,0,0,0,0,0
223806889,Adventure|Animation|Family|Sci-Fi,WALL·E,earth|obesity|plant|robot|soil,tt0910970,English,USA,2008,8.4,0,1,0,1,0,0,0,0,0,1
140080850,Action|Comedy|Crime|Thriller,Rush Hour 3,ambassador|assassination|chinese|french|triad,tt0293564,English,USA,2007,6.2,1,0,0,0,1,1,0,0,0,0
166112167,Action|Adventure|Sci-Fi,2012,ark|catastrophe|geologist|president|writer,tt1190080,English,USA,2009,5.8,1,1,0,1,0,0,0,0,0,0
137850096,Animation|Drama|Family|Fantasy,A Christmas Carol,charles dickens|christmas|christmas eve|ghost|scrooge,tt1067106,English,USA,2009,6.8,0,0,1,0,0,0,0,0,0,1
47375327,Action|Adventure|Sci-Fi,Jupiter Ascending,box office flop|critically bashed|planet earth|space opera|woman in bra and panties,tt1617661,English,USA,2015,5.4,1,1,0,1,0,0,0,0,0,0
124051759,Action|Adventure|Drama|Romance,The Legend of Tarzan,africa|capture|jungle|male objectification|tarzan,tt0918940,English,USA,2016,6.6,1,1,0,0,0,0,1,0,0,0
291709845,Adventure|Family|Fantasy,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",hide and seek|lion|magic|professor|snow,tt0363771,English,USA,2005,6.9,0,1,1,0,0,0,0,0,0,0
154985087,Action|Adventure|Sci-Fi,X-Men: Apocalypse,mutant|superhero|superhero team|x men|year 1983,tt3385516,English,USA,2016,7.3,1,1,0,1,0,0,0,0,0,0
533316061,Action|Crime|Drama|Thriller,The Dark Knight,based on comic book|dc comics|psychopath|star died before release|urban setting,tt0468569,English,USA,2008,9,1,0,0,0,1,0,0,0,0,0
292979556,Adventure|Animation|Comedy|Family,Up,balloon|house|promise|retirement|skeleton,tt1049413,English,USA,2009,8.3,0,1,0,0,0,1,0,0,0,1
198332128,Action|Adventure|Animation|Comedy|Family|Sci-Fi,Monsters vs. Aliens,alien|alien invasion|alien space craft|giant|giantess,tt0892782,English,USA,2009,6.5,1,1,0,1,0,1,0,0,0,1
318298180,Action|Adventure|Sci-Fi,Iron Man,afghanistan|billionaire|inventor|playboy|u.s. air force,tt0371746,English,USA,2008,7.9,1,1,0,1,0,0,0,0,0,0
73820094,Adventure|Drama|Family|Mystery,Hugo,automaton|mechanical|railway station|steampunk|train,tt0970179,English,USA,2011,7.5,0,1,0,0,0,0,0,1,0,0
113745408,Action|Comedy|Sci-Fi|Western,Wild Wild West,buddy movie|general|inventor|steampunk|utah,tt0120891,English,USA,1999,4.8,1,0,0,1,0,1,0,0,0,0
102176165,Action|Adventure|Fantasy|Horror|Thriller,The Mummy: Tomb of the Dragon Emperor,army|china|emperor|mummy|shangri la,tt0859163,English,USA,2008,5.2,1,1,1,0,1,0,0,0,1,0
161087183,Action|Adventure|Comedy|Sci-Fi,Suicide Squad,based on comic book|critically bashed|father daughter relationship|reference to superman|super villain,tt1386697,English,USA,2016,6.9,1,1,0,1,0,1,0,0,0,0
100289690,Comedy|Family|Fantasy,Evan Almighty,ark|change|congressman|depiction of god|flood,tt0413099,English,USA,2007,5.4,0,0,1,0,0,1,0,0,0,0
100189501,Action|Adventure|Sci-Fi,Edge of Tomorrow,alien|combat|dying repeatedly|end of the world|time loop,tt1631867,English,USA,2014,7.9,1,1,0,1,0,0,0,0,0,0
88246220,Action|Adventure|Sci-Fi|Thriller,Waterworld,future|sail|sea|smoker|water,tt0114898,English,USA,1995,6.1,1,1,0,1,1,0,0,0,0,0
150167630,Action|Adventure|Sci-Fi|Thriller,G.I. Joe: The Rise of Cobra,cobra|gi joe|snake|train|warhead,tt1046173,English,USA,2009,5.8,1,1,0,1,1,0,0,0,0,0
356454367,Adventure|Animation|Comedy|Drama|Family|Fantasy,Inside Out,anger|joy|memory|running away|sadness,tt2096673,English,USA,2015,8.3,0,1,1,0,0,1,0,0,0,1
362645141,Adventure|Drama|Family|Fantasy,The Jungle Book,fire|jungle|remake|tiger|wolf,tt3040964,English,UK,2016,7.8,0,1,1,0,0,0,0,0,0,0
312057433,Action|Adventure|Sci-Fi,Iron Man 2,hammer|military|monaco|revenge|tony stark,tt1228705,English,USA,2010,7,1,1,0,1,0,0,0,0,0,0
155111815,Action|Adventure|Drama|Fantasy,Snow White and the Huntsman,evil queen|fairy tale|magic|queen|snow white,tt1735898,English,USA,2012,6.1,1,1,1,0,0,0,0,0,0,0
241407328,Action|Adventure|Family|Fantasy|Romance,Maleficent,curse|dark fantasy|fairy|king|kingdom,tt1587310,English,USA,2014,7,1,1,1,0,0,0,1,0,0,0
208543795,Action|Adventure|Drama|Sci-Fi,Dawn of the Planet of the Apes,ape|dam|leader|post apocalypse|sequel,tt2103281,English,USA,2014,7.6,1,1,0,1,0,0,0,0,0,0
,Action|Adventure|Romance|Sci-Fi,The Lovers,1770s|british india|great barrier reef|india|ring,tt1321869,English,Belgium,2015,4.5,1,1,0,1,0,0,1,0,0,0
38297305,Action|Adventure|Drama|Fantasy,47 Ronin,box office flop|ronin|samurai|shogun|tournament,tt1335975,English,USA,2013,6.3,1,1,1,0,0,0,0,0,0,0
259746958,Action|Adventure|Sci-Fi,Captain America: The Winter Soldier,conspiracy|heroism|megalomaniac|super soldier|world domination,tt1843866,English,USA,2014,7.8,1,1,0,1,0,0,0,0,0,0
238371987,Adventure|Animation|Comedy|Family|Fantasy,Shrek Forever After,alternate world|fairy tale parody|female warrior|ogre|true love,tt0892791,English,USA,2010,6.4,0,1,1,0,0,1,0,0,0,1
93417865,Action|Adventure|Family|Mystery|Sci-Fi,Tomorrowland,boy genius|futuristic city|inventor|teenage girl|time travel,tt1964418,English,USA,2015,6.5,1,1,0,1,0,0,0,1,0,0
222487711,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,Big Hero 6,high tech|martial arts|masked man|robot|superhero,tt2245084,English,USA,2014,7.9,1,1,0,1,0,1,0,0,0,1
189412677,Adventure|Animation|Comedy|Family|Sci-Fi,Wreck-It Ralph,arcade|candy|glitch|king|medal,tt1772341,English,USA,2012,7.8,0,1,0,1,0,1,0,0,0,1
665426,Adventure|Animation|Family|Fantasy,The Polar Express,boy|christmas|christmas eve|north pole|train,tt0338348,English,USA,2004,6.6,0,1,1,0,0,0,0,0,0,1
102315545,Action|Adventure|Sci-Fi,Independence Day: Resurgence,alien|battle|defense|independence day|mothership,tt1628841,English,USA,2016,5.5,1,1,0,1,0,0,0,0,0,0
217387997,Adventure|Animation|Family|Fantasy,How to Train Your Dragon,dragon|island|training|viking|village,tt0892769,English,USA,2010,8.2,0,1,1,0,0,0,0,0,0,1
150350192,Action|Sci-Fi,Terminator 3: Rise of the Machines,drifter|exploding truck|future|machine|skynet,tt0181852,English,USA,2003,6.4,1,0,0,1,0,0,0,0,0,0
333130696,Action|Adventure|Sci-Fi,Guardians of the Galaxy,bounty hunter|outer space|raccoon|talking animal|tree,tt2015381,English,USA,2014,8.1,1,1,0,1,0,0,0,0,0,0
187991439,Adventure|Drama|Sci-Fi,Interstellar,black hole|father daughter relationship|saving the world|space travel|wormhole,tt0816692,English,USA,2014,8.6,0,1,0,1,0,0,0,0,0,0
292568851,Action|Adventure|Sci-Fi|Thriller,Inception,ambiguous ending|corporate espionage|dream|subconscious|thief,tt1375666,English,USA,2010,8.8,1,1,0,1,1,0,0,0,0,0
,Action|Adventure|Drama|Horror|Sci-Fi,Godzilla Resurgence,blood|godzilla|monster|sequel,tt4262980,Japanese,Japan,2016,8.2,1,1,0,1,0,0,0,0,1,0
303001229,Adventure|Fantasy,The Hobbit: An Unexpected Journey,dragon|dwarf|hobbit|orc|wizard,tt0903624,English,USA,2012,7.9,0,1,1,0,0,0,0,0,0,0
144512310,Action|Crime|Thriller,The Fast and the Furious,eighteen wheeler|illegal street racing|truck|trucker|undercover cop,tt0232500,English,USA,2001,6.7,1,0,0,0,1,0,0,0,0,0
127490802,Drama|Fantasy|Romance,The Curious Case of Benjamin Button,deformed baby|diary|lingerie slip|older man younger woman relationship|premature aging,tt0421715,English,USA,2008,7.8,0,0,1,0,0,0,1,0,0,0
146405371,Action|Adventure|Sci-Fi,X-Men: First Class,cia|cia agent|mutant|nuclear war|professor,tt1270798,English,USA,2011,7.8,1,1,0,1,0,0,0,0,0,0
281666058,Adventure|Sci-Fi,The Hunger Games: Mockingjay - Part 2,death of sister|dystopia|execution|rebellion|revolution,tt1951266,English,USA,2015,6.6,0,1,0,1,0,0,0,0,0,0
63143812,Action|Adventure|Family|Fantasy,The Sorcerer's Apprentice,chosen one|enchanted object|love|spell|training,tt0963966,English,USA,2010,6.1,1,1,1,0,0,0,0,0,0,0
76846624,Adventure|Family|Fantasy,Alice Through the Looking Glass,clock|dark fantasy|mad hatter|queen|sequel,tt2567026,English,USA,2016,6.4,0,1,1,0,0,0,0,0,0,0
320706665,Adventure|Animation|Comedy|Family|Fantasy,Shrek the Third,disney spoof|fairy tale|prince|princess|tough guy,tt0413267,English,USA,2007,6.1,0,1,1,0,0,1,0,0,0,1
46978995,Action|Adventure|Fantasy,Warcraft,based on video game|fictional language|fictional war|orc|sword and sorcery,tt0803096,English,USA,2016,7.3,1,1,1,0,0,0,0,0,0,0
89732035,Action|Adventure|Sci-Fi,Terminator Genisys,alternate timeline|cyborg|future|robot|time machine,tt1340138,English,USA,2015,6.6,1,1,0,1,0,0,0,0,0,0
104383624,Adventure|Family|Fantasy,The Chronicles of Narnia: The Voyage of the Dawn Treader,dragon|king|mouse|quest|warrior,tt0980970,English,USA,2010,6.3,0,1,1,0,0,0,0,0,0,0
198539855,Action|Drama|History|Romance|War,Pearl Harbor,air raid|black smoke|japanese military|japanese navy|sunday,tt0213149,English,USA,2001,6.1,1,0,0,0,0,0,1,0,0,0
318759914,Action|Adventure|Sci-Fi,Transformers,alien contact|autobot|decepticon|robot vs. robot|teenage hero,tt0418279,English,USA,2007,7.1,1,1,0,1,0,0,0,0,0,0
292000866,Adventure|Family|Fantasy|Mystery,Harry Potter and the Order of the Phoenix,battle|magic|school|teacher|wizard,tt0373889,English,UK,2007,7.5,0,1,1,0,0,0,0,1,0,0
289994397,Adventure|Family|Fantasy|Mystery,Harry Potter and the Goblet of Fire,fire|goblet|magic|tournament|wizard,tt0330373,English,UK,2005,7.6,0,1,1,0,0,0,0,1,0,0
227946274,Action|Drama,Hancock,bully comeuppance|destruction|prison|superhero|tough girl,tt0448157,English,USA,2008,6.4,1,0,0,0,0,0,0,0,0,0
256386216,Drama|Horror|Sci-Fi,I Am Legend,new york city|pandemic|post apocalypse|survivalist|virus,tt0480249,English,USA,2007,7.2,0,0,0,1,0,0,0,0,1,0
206456431,Adventure|Comedy|Family|Fantasy,Charlie and the Chocolate Factory,chocolate|diminution|miniaturization|physical flexability|ticket,tt0367594,English,USA,2005,6.7,0,1,1,0,0,1,0,0,0,0
206435493,Animation|Comedy|Family|Fantasy,Ratatouille,chef|food|french|rat|restaurant,tt0382932,English,USA,2007,8,0,0,1,0,0,1,0,0,0,1
205343774,Action|Adventure,Batman Begins,armored car|gangster|gotham|mixed martial arts|social decay,tt0372784,English,USA,2005,8.3,1,1,0,0,0,0,0,0,0,0
179982968,Action|Adventure|Animation|Comedy|Family,Madagascar: Escape 2 Africa,africa|madagascar|new york city|sequel|zoo,tt0479952,English,USA,2008,6.7,1,1,0,0,0,1,0,0,0,1
177243721,Adventure|Comedy|Family|Fantasy,Night at the Museum: Battle of the Smithsonian,hdtv|motorcycle|museum|security guard|tyrannosaurus rex,tt1078912,English,USA,2009,5.9,0,1,1,0,0,1,0,0,0,0
179883016,Action|Adventure|Fantasy|Sci-Fi|Thriller,X-Men Origins: Wolverine,army|civil war|claw fight|commando|wolverine the character,tt0458525,English,USA,2009,6.7,1,1,1,1,1,0,0,0,0,0
139259759,Action|Sci-Fi,The Matrix Revolutions,battle|epic|fight|future|machine,tt0242653,English,Australia,2003,6.7,1,0,0,1,0,0,0,0,0,0
400736600,Adventure|Animation|Comedy|Family|Fantasy|Musical,Frozen,magic|sister love|sister sister relationship|snow|snowman,tt2294629,English,USA,2013,7.6,0,1,1,0,0,1,0,0,0,1
281492479,Action|Sci-Fi,The Matrix Reloaded,car motorcycle chase|one against many|oracle|prophecy|stylized violence,tt0234215,English,USA,2003,7.2,1,0,0,1,0,0,0,0,0,0
206360018,Action|Adventure|Fantasy,Thor: The Dark World,arrest|portal|thor|warrior|weapon,tt1981115,English,USA,2013,7.1,1,1,1,0,0,0,0,0,0,0
153629485,Action|Adventure|Sci-Fi|Thriller,Mad Max: Fury Road,australia|desert|escape|on the run|post apocalypse,tt1392190,English,Australia,2015,8.1,1,1,0,1,1,0,0,0,0,0
133375846,Mystery|Thriller,Angels & Demons,conclave|illuminati|murder|reference to bernini|reference to raphael,tt0808151,English,USA,2009,6.7,0,0,0,0,1,0,0,1,0,0
181015141,Action|Adventure|Fantasy,Thor,battle|marvel cinematic universe|scientist|thor|throne,tt0800369,English,USA,2011,7,1,1,1,0,0,0,0,0,0,0
114053579,Adventure|Animation|Comedy|Drama|Family,Bolt,cat|dog|hamster|new york city|superpower,tt0397892,English,USA,2008,6.9,0,1,0,0,0,1,0,0,0,1
119420252,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,G-Force,fbi director|guinea pig|household appliance|secret agent|talking mouse,tt0436339,English,USA,2009,5.1,1,1,1,1,0,1,0,0,0,1
195000874,Action|Adventure|Thriller,Mission: Impossible - Rogue Nation,capture|computer hacker|mission|rogue agent|spy,tt2381249,English,China,2015,7.4,1,1,0,0,1,0,0,0,0,0
124051759,Action|Adventure|Drama|Romance,The Legend of Tarzan,africa|capture|jungle|male objectification|tarzan,tt0918940,English,USA,2016,6.6,1,1,0,0,0,0,1,0,0,0
126597121,Adventure|Animation|Comedy|Family,Bee Movie,bee|dream sequence|egg|scatological humor|squashed bug,tt0389790,English,USA,2007,6.2,0,1,0,0,0,1,0,0,0,1
165230261,Action|Adventure|Animation|Comedy|Family,Kung Fu Panda 2,china|kung fu|panda|peacock|tigress,tt1302011,English,USA,2011,7.3,1,1,0,0,0,1,0,0,0,1
131564731,Action|Adventure|Family|Fantasy,The Last Airbender,avatar|fire|kingdom|tribe|water,tt0938283,English,USA,2010,4.2,1,1,1,0,0,0,0,0,0,0
133382309,Action|Adventure|Thriller,Mission: Impossible III,arms dealer|fictional government agency|mission|rescue|vatican,tt0317919,English,USA,2006,6.9,1,1,0,0,1,0,0,0,0,0
73103784,Action|Drama|Thriller,White House Down,black u.s. president|president|secret service|tour|white house,tt2334879,English,USA,2013,6.4,1,0,0,0,1,0,0,0,0,0
21379315,Action|Adventure|Animation|Comedy|Family|Sci-Fi,Mars Needs Moms,boy|martian|rescue|robot|sexism,tt1305591,English,USA,2011,5.4,1,1,0,1,0,1,0,0,0,1
64459316,Adventure|Animation|Comedy|Family,Flushed Away,boat|frog|rat|sewer|toad,tt0424095,English,UK,2006,6.7,0,1,0,0,0,1,0,0,0,1
111505642,Adventure|Animation|Comedy|Family|Sci-Fi,Mr. Peabody & Sherman,dog|father son relationship|inventor|talking dog|time travel,tt0864835,English,USA,2014,6.9,0,1,0,1,0,1,0,0,0,1
133228348,Adventure,Troy,greek|mythology|prince|trojan|troy,tt0332452,English,USA,2004,7.2,0,1,0,0,0,0,0,0,0,0
216366733,Adventure|Animation|Comedy|Family,Madagascar 3: Europe's Most Wanted,animal|circus|island name in title|lemur|penguin,tt1277953,English,USA,2012,6.9,0,1,0,0,0,1,0,0,0,1
160201106,Action|Adventure|Thriller,Die Another Day,catfight|clinic|colonel|diamond|patricide,tt0246460,English,UK,2002,6.1,1,1,0,0,1,0,0,0,0,0
118099659,Action|Comedy|Fantasy|Sci-Fi,Ghostbusters,ghost|ghostbuster|ghostbusters|male objectification|reboot,tt1289401,English,USA,2016,5.5,1,0,1,1,0,1,0,0,0,0
201573391,Action|Adventure|Sci-Fi|Thriller,Armageddon,asteroid|astronaut|bomb|meteorite|outer space,tt0120591,English,USA,1998,6.6,1,1,0,1,1,0,0,0,0,0
190418803,Action|Adventure|Comedy|Family|Fantasy|Mystery|Sci-Fi,Men in Black II,alien|lingerie|lingerie model|m.i.b.|pug,tt0120912,English,USA,2002,6.1,1,1,1,1,0,1,0,1,0,0
82161969,Action|Adventure|Animation|Fantasy,Beowulf,creature|demon|king|reward|warrior,tt0442933,English,USA,2007,6.3,1,1,1,0,0,0,0,0,0,1
143523463,Action|Adventure|Animation|Comedy|Family,Kung Fu Panda 3,china|kung fu|panda|pig|village,tt2267968,English,USA,2016,7.2,1,1,0,0,0,1,0,0,0,1
209364921,Action|Adventure|Thriller,Mission: Impossible - Ghost Protocol,dubai|kremlin|race against time|russian|terrorist,tt1229238,English,USA,2011,7.4,1,1,0,0,1,0,0,0,0,0
103400692,Adventure|Animation|Family|Fantasy,Rise of the Guardians,belief|box office hit|children|new york city|tooth,tt1446192,English,USA,2012,7.3,0,1,1,0,0,0,0,0,0,1
111110575,Action|Drama|History|War,The Last Samurai,captain|emperor|honor|japan|samurai,tt0325710,English,USA,2003,7.7,1,0,0,0,0,0,0,0,0,0
